▲ Next.js 16.2.3 (webpack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 374ms

○ Compiling / ...
 GET / 200 in 48ms (next.js: 2ms, application-code: 46ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 41ms (next.js: 1979µs, application-code: 39ms)
 GET / 200 in 47ms (next.js: 1891µs, application-code: 45ms)
 GET / 200 in 42ms (next.js: 1647µs, application-code: 40ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 43ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 45ms (next.js: 1994µs, application-code: 43ms)
 GET / 200 in 47ms (next.js: 1496µs, application-code: 45ms)
 GET / 200 in 37ms (next.js: 1782µs, application-code: 35ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 43ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 49ms (next.js: 2ms, application-code: 47ms)
 GET / 200 in 46ms (next.js: 1830µs, application-code: 45ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 47ms (next.js: 1454µs, application-code: 46ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 55ms (next.js: 3ms, application-code: 53ms)
 GET / 200 in 45ms (next.js: 1891µs, application-code: 43ms)
 GET / 200 in 41ms (next.js: 4ms, application-code: 37ms)
 GET / 200 in 46ms (next.js: 1357µs, application-code: 44ms)
 GET / 200 in 37ms (next.js: 1839µs, application-code: 36ms)
 GET / 200 in 59ms (next.js: 1983µs, application-code: 57ms)
 GET / 200 in 70ms (next.js: 3ms, application-code: 68ms)
 GET / 200 in 55ms (next.js: 3ms, application-code: 52ms)
 GET / 200 in 56ms (next.js: 2ms, application-code: 54ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 54ms (next.js: 2ms, application-code: 51ms)
 GET / 200 in 55ms (next.js: 3ms, application-code: 52ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 45ms (next.js: 3ms, application-code: 43ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 54ms (next.js: 3ms, application-code: 51ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET / 200 in 49ms (next.js: 3ms, application-code: 46ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 32ms (next.js: 1696µs, application-code: 30ms)
 GET / 200 in 38ms (next.js: 1666µs, application-code: 37ms)
 GET / 200 in 41ms (next.js: 1833µs, application-code: 39ms)
 GET / 200 in 50ms (next.js: 3ms, application-code: 47ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 51ms (next.js: 1756µs, application-code: 49ms)
 GET / 200 in 41ms (next.js: 1268µs, application-code: 40ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 39ms)
 GET / 200 in 36ms (next.js: 3ms, application-code: 33ms)
 GET / 200 in 37ms (next.js: 1699µs, application-code: 35ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 36ms (next.js: 1818µs, application-code: 34ms)
 GET / 200 in 42ms (next.js: 2ms, application-code: 39ms)
 GET / 200 in 49ms (next.js: 2ms, application-code: 46ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 47ms (next.js: 1365µs, application-code: 46ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 36ms (next.js: 1360µs, application-code: 35ms)
 GET / 200 in 41ms (next.js: 1906µs, application-code: 39ms)
 GET / 200 in 35ms (next.js: 1662µs, application-code: 34ms)
 GET / 200 in 42ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 46ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 39ms (next.js: 1856µs, application-code: 37ms)
 GET / 200 in 48ms (next.js: 3ms, application-code: 46ms)
 GET / 200 in 36ms (next.js: 1584µs, application-code: 35ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 32ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 40ms (next.js: 1943µs, application-code: 38ms)
 GET / 200 in 39ms (next.js: 1581µs, application-code: 37ms)
 GET / 200 in 35ms (next.js: 2ms, application-code: 33ms)
 GET / 200 in 37ms (next.js: 1507µs, application-code: 35ms)
 GET / 200 in 42ms (next.js: 1640µs, application-code: 40ms)
 GET / 200 in 26ms (next.js: 3ms, application-code: 24ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 53ms (next.js: 2ms, application-code: 50ms)
 GET / 200 in 30ms (next.js: 2ms, application-code: 27ms)
 GET / 200 in 35ms (next.js: 1977µs, application-code: 33ms)
 GET / 200 in 34ms (next.js: 1553µs, application-code: 33ms)
 GET / 200 in 45ms (next.js: 4ms, application-code: 41ms)
 GET / 200 in 36ms (next.js: 3ms, application-code: 34ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 37ms (next.js: 1303µs, application-code: 36ms)
 GET / 200 in 38ms (next.js: 1956µs, application-code: 36ms)
 GET / 200 in 35ms (next.js: 3ms, application-code: 32ms)
 GET / 200 in 32ms (next.js: 1480µs, application-code: 31ms)
 GET / 200 in 37ms (next.js: 1231µs, application-code: 36ms)
 GET / 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET / 200 in 36ms (next.js: 1226µs, application-code: 35ms)
 GET / 200 in 35ms (next.js: 1653µs, application-code: 33ms)
 GET / 200 in 36ms (next.js: 1998µs, application-code: 34ms)
 GET / 200 in 41ms (next.js: 1368µs, application-code: 39ms)
 GET / 200 in 36ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 41ms (next.js: 1652µs, application-code: 40ms)
 GET / 200 in 35ms (next.js: 1186µs, application-code: 34ms)
 GET / 200 in 41ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 46ms (next.js: 1680µs, application-code: 44ms)
